"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL2263114";"";"0";"635.91";"2";"8.49";"11i";"CC1(C)CC[C@]2(CC(=O)NC(Cc3ccc(F)cc3)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1";"IC50";"'='";"570.0";"nM";"6.24";"";"";"UO_0000065";"9.82";"0.19";"-2.25";"7.21";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL2263111";"";"0";"652.36";"2";"9.00";"11f";"CC1(C)CC[C@]2(CC(=O)NC(Cc3ccccc3Cl)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1";"IC50";"'='";"560.0";"nM";"6.25";"";"";"UO_0000065";"9.58";"0.19";"-2.75";"7.22";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL2263110";"";"0";"601.94";"2";"7.86";"11e";"CSCCC(NC(=O)C[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O";"IC50";"'='";"550.0";"nM";"6.26";"";"";"UO_0000065";"10.40";"0.20";"-1.60";"7.23";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL511000";"";"0";"575.83";"2";"8.49";"10e";"CC1(C)CC[C@]2(C(=O)Nc3ccc(C(=O)O)cc3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1";"IC50";"'='";"3090.0";"nM";"5.51";"";"";"UO_0000065";"9.57";"0.18";"-2.98";"6.36";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL506556";"";"0";"590.85";"2";"9.16";"12l";"CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OCc6cccc(C(=O)O)c6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1";"IC50";"'='";"620.0";"nM";"6.21";"";"";"UO_0000065";"10.51";"0.20";"-2.95";"7.40";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL506934";"";"0";"556.78";"2";"7.35";"12e";"CCOC(=O)C(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C2[C@@H]4CC(C)(C)CC[C@]4(C(=O)O)CC[C@]23C)C1(C)C";"IC50";"'='";"2890.0";"nM";"5.54";"";"";"UO_0000065";"9.95";"0.19";"-1.81";"6.16";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL2262831";"";"0";"631.94";"2";"8.66";"11k";"Cc1ccccc1CC(NC(=O)C[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O";"IC50";"'='";"550.0";"nM";"6.26";"";"";"UO_0000065";"9.91";"0.19";"-2.40";"7.23";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL280487";"OKADAIC ACID";"0";"805.02";"3";"5.21";"Okadaic acid";"C=C1[C@@H]([C@@H](O)C[C@H](C)[C@H]2O[C@@]3(CCCCO3)CC[C@H]2C)O[C@@H]2CC[C@@]3(CC[C@H](/C=C/[C@@H](C)[C@@H]4CC(C)=C[C@@]5(O[C@H](C[C@@](C)(O)C(=O)O)CC[C@H]5O)O4)O3)O[C@H]2[C@@H]1O";"IC50";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"7.31";"0.14";"0.68";"3.22";"False";"CHEMBL767326";"Inhibition activity against protein phosphatase 1 (PP1), activity taken from literature";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130173";"1";"Scientific Literature";"J. Med. Chem.";"1997";""
"CHEMBL140954";"";"0";"550.33";"2";"5.30";"9";"O=P(O)(O)C(F)(F)c1ccc(COc2ccc(OCc3ccc(C(F)(F)P(=O)(O)O)cc3)cc2)cc1";"IC50";"'='";"4200.0";"nM";"5.38";"";"";"UO_0000065";"9.77";"0.20";"0.08";"4.03";"False";"CHEMBL756369";"Inhibitory activity against Protein tyrosine phosphatase 1B (PTP1B).";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134320";"1";"Scientific Literature";"J. Med. Chem.";"2001";""
"CHEMBL440955";"";"0";"503.61";"1";"4.46";"5";"O=C1C[C@@H](c2ccc(C[C@H](Nc3nc4ccccc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1";"IC50";"'='";"270.0";"nM";"6.57";"";"";"UO_0000065";"13.04";"0.26";"2.11";"5.62";"False";"CHEMBL902512";"Inhibition of PTP1B by pNPP assay";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138418";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";""
"CHEMBL246869";"";"0";"582.51";"2";"5.22";"22";"O=C1CC(c2ccc(C[C@H](Nc3nc4ccc(Br)cc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"10.82";"0.24";"1.08";"5.39";"False";"CHEMBL902512";"Inhibition of PTP1B by pNPP assay";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138418";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";""
"CHEMBL381633";"";"0";"447.49";"0";"3.97";"7";"CC(C)CC(C(=O)NC(CC(=O)O)c1ccccc1)c1ccc2c(C#N)cc(C(=O)O)n2c1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL863941";"Inhibitory activity against PTP1b";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148533";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";""
"CHEMBL1946252";"";"0";"401.33";"0";"2.90";"16";"CCOP(=O)(O)C(N[C@@H](Cc1ccccc1)C(=O)[O-])c1ccccc1O.[Na+]";"IC50";"'>'";"10000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1949391";"Inhibition of human PTP1B using p-nitrophenol phosphate as substrate incubated for 35 mins prior to substrate addition measured after 30 mins by spectrophotometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1944565";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2012";""
"CHEMBL1946383";"";"0";"417.33";"0";"2.60";"17";"CCOP(=O)(O)C(N[C@@H](Cc1ccc(O)cc1)C(=O)[O-])c1ccccc1O.[Na+]";"IC50";"'>'";"10000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1949391";"Inhibition of human PTP1B using p-nitrophenol phosphate as substrate incubated for 35 mins prior to substrate addition measured after 30 mins by spectrophotometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1944565";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2012";""
"CHEMBL210836";"";"0";"532.58";"1";"2.72";"14";"O=C1C[C@@H](c2ccc(C[C@H](NS(=O)(=O)c3ccccc3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)[N-]1.[Na+]";"IC50";"'='";"32.0";"nM";"7.50";"";"";"UO_0000065";"14.68";"0.29";"4.77";"5.43";"False";"CHEMBL870503";"Inhibition of PTP1B by pNPP assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138056";"1";"Scientific Literature";"J. Med. Chem.";"2006";""
"CHEMBL382311";"";"0";"486.55";"0";"-0.16";"1";"CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc([C@@H]2CC(=O)NS2(=O)=O)cc1)C(N)=O";"IC50";"'='";"240.0";"nM";"6.62";"";"";"UO_0000065";"13.61";"0.27";"6.78";"4.02";"False";"CHEMBL870503";"Inhibition of PTP1B by pNPP assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138056";"1";"Scientific Literature";"J. Med. Chem.";"2006";""
"CHEMBL1935500";"";"0";"565.76";"1";"5.52";"14j";"C/C=C/C=C/C(=O)N1Cc2cc(OCCc3nc(/C=C/C(C)CCC)oc3C)ccc2C[C@H]1C(=O)O.CC(C)(C)N";"IC50";"'='";"1410.0";"nM";"5.85";"";"";"UO_0000065";"11.88";"0.22";"0.33";"6.30";"False";"CHEMBL1935980";"Inhibition of PTB1B using pNPP as substrate after 30 mins";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933004";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";""
"CHEMBL1935493";"";"0";"537.70";"0";"4.74";"14c";"C/C=C/C=C/C(=O)N1Cc2cc(OCCc3nc(/C=C/C(C)C)oc3C)ccc2C[C@H]1C(=O)O.CC(C)(C)N";"IC50";"'='";"2200.0";"nM";"5.66";"";"";"UO_0000065";"12.18";"0.23";"0.92";"6.09";"False";"CHEMBL1935980";"Inhibition of PTB1B using pNPP as substrate after 30 mins";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933004";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";""
"CHEMBL253500";"";"0";"596.71";"1";"3.88";"4I";"O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(F)c3)c3ncc(CCCc4ccccc4)[nH]3)cc2)S(=O)(=O)N1";"IC50";"'='";"43.0";"nM";"7.37";"";"";"UO_0000065";"12.35";"0.25";"3.49";"5.33";"False";"CHEMBL927697";"Inhibition of PTP1B by pNPP assay";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140792";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";""
"CHEMBL254301";"";"0";"620.68";"1";"3.10";"3G";"O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(C(F)(F)F)c3)C3=NC[C@H](Cc4ccccc4)N3)cc2)S(=O)(=O)N1";"IC50";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"9.48";"0.19";"2.79";"4.40";"False";"CHEMBL927697";"Inhibition of PTP1B by pNPP assay";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140792";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";""
"CHEMBL9473";"";"0";"732.59";"2";"7.24";"17";"O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2nc(-c3ccccc3)cs2)n2nnc3ccccc32)cc1";"IC50";"'='";"190.0";"nM";"6.72";"";"";"UO_0000065";"9.17";"0.19";"-0.52";"4.24";"False";"CHEMBL768523";"Inhibitory activity against Protein tyrosine phosphatase 1B (PTP1B) over-expressed in intact Sf9 cell assay";"B";"BAO_0000219";"cell-based format";"";"";"";"Sf9";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146670";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"CHEMBL3308860"
"CHEMBL268526";"";"0";"740.64";"2";"7.21";"20";"Cc1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"10.69";"0.21";"0.71";"4.99";"False";"CHEMBL768525";"Inhibitory activity against protein tyrosine phosphatase 1B (PTP1B) was determined in fluorescein diphosphate (FDP) assay";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146670";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";""
"CHEMBL1083714";"";"0";"698.48";"2";"10.43";"104";"O=C(O)[C@@H](Cc1ccccc1)Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br";"IC50";"'='";"25.0";"nM";"7.60";"";"";"UO_0000065";"10.88";"0.25";"-2.83";"16.34";"True";"CHEMBL768926";"In vitro inhibitory activity against human recombinant protein tyrosine phosphatase 1b (PTP1B)";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132993";"1";"Scientific Literature";"J. Med. Chem.";"2000";""
"CHEMBL229466";"";"0";"214.22";"0";"2.76";"1c";"O=C(O)c1cccc(-c2ccccc2)c1O";"IC50";"'='";"859000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL905766";"Inhibition of PTP1B";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143766";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2007";""
"CHEMBL2414205";"";"0";"316.44";"0";"4.68";"9";"C/C1=C/C=C(/C(C)C)CCC2=CCC[C@](C)(OC2=O)C(=O)CC1";"IC50";"'='";"15400.0";"nM";"4.81";"";"";"UO_0000065";"15.21";"0.29";"0.13";"11.10";"False";"CHEMBL2415671";"Inhibition of human recombinant PTP1B-mediated pNPP hydrolysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2413037";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
"CHEMBL2414203";"";"0";"376.49";"0";"4.16";"7";"CC(=O)O[C@@H]1C/C(C)=C/CCC(C)CC(=O)CC2=C[C@@H](OC2=O)[C@@H]1C(C)C";"IC50";"'>='";"20.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"False";"CHEMBL2415671";"Inhibition of human recombinant PTP1B-mediated pNPP hydrolysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2413037";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";""
"CHEMBL455469";"";"0";"297.27";"0";"3.22";"44";"O=C(/C=C/c1ccc2c(c1)OCO2)c1cccc([N+](=O)[O-])c1";"IC50";"'='";"107000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1948975";"Inhibition of human PTP1B expressed in Escherichia coli BL21 DE3 using p-nitrophenyl phosphate as substrate measured for 10 mins by spectrofluorimetry";"B";"BAO_0000019";"assay format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1944567";"1";"Scientific Literature";"J. Med. Chem.";"2012";""
"CHEMBL455453";"";"0";"297.27";"0";"3.22";"43";"O=C(/C=C/c1ccc2c(c1)OCO2)c1ccc([N+](=O)[O-])cc1";"IC50";"'='";"23000.0";"nM";"4.64";"";"";"UO_0000065";"15.60";"0.29";"1.42";"5.90";"False";"CHEMBL1948975";"Inhibition of human PTP1B expressed in Escherichia coli BL21 DE3 using p-nitrophenyl phosphate as substrate measured for 10 mins by spectrofluorimetry";"B";"BAO_0000019";"assay format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1944567";"1";"Scientific Literature";"J. Med. Chem.";"2012";""
